"","name","father","stock","glottocode","iso","wals","level","longitude","latitude","population"
"mbar1253","Mbariman-Gudhinma","Lamalamic","Pama-Nyungan","mbar1253","zmv",NA,"language",143.789,-14.529,0
"mbar1254","Mbara [Australia]","Paman","Pama-Nyungan","mbar1254","mvl",NA,"language",136.641,-24.46,NA
"mbar1255","Mbaru","Lame","Atlantic-Congo","mbar1255",NA,NA,"dialect",NA,NA,NA
"mbar1260","Mbara [Chad]","Musgu-Mbara","Afro-Asiatic","mbar1260","mpk","mbr","language",15.5363,10.9585,1000
"mbat1247","Mbato","Potou","Atlantic-Congo","mbat1247","gwa",NA,"language",-3.70421,5.34421,25000
"mbat1248","Mbati","Bwamba-Ngondi-Pande-Mbati-Aka","Atlantic-Congo","mbat1248","mdn",NA,"language",17.7529,3.94184,60000
"mbat1249","Mbati of Mbaïki","Mbati","Atlantic-Congo","mbat1249",NA,NA,"dialect",NA,NA,NA
"mbat1250","Mbat","Mfumte","Atlantic-Congo","mbat1250",NA,NA,"dialect",NA,NA,NA
"mbay1241","Mbay","Sido","Central Sudanic","mbay1241","myb","mby","language",15.7328,8.23066,88300
"mbec1238","Mbeci","Eloyi","Atlantic-Congo","mbec1238",NA,NA,"dialect",NA,NA,NA
"mbed1238","Mbedzi","Venda","Atlantic-Congo","mbed1238",NA,NA,"dialect",NA,NA,NA
"mbed1242","Mbedam","Biu-Mandara A A.7","Afro-Asiatic","mbed1242","xmd",NA,"language",13.9322,10.466,6000
"mbee1248","Mbeere","Embu","Atlantic-Congo","mbee1248",NA,NA,"dialect",NA,NA,NA
"mbee1249","Mbe","Ekoid-Mbe","Atlantic-Congo","mbee1249","mfo",NA,"language",8.82998,6.57067,14300
"mbee1250","Mbe’","Nkambe","Atlantic-Congo","mbee1250","mtk","mbz","language",11.0906,6.25838,1488
"mbej1238","Mbeji","Eloyi","Atlantic-Congo","mbej1238",NA,NA,"dialect",NA,NA,NA
"mbel1240","Mbelime","Ditammaric","Atlantic-Congo","mbel1240","mql",NA,"language",0.95645,10.4532,24500
"mbem1251","Mbembe-Legbo","East-West Central Delta Cross","Atlantic-Congo","mbem1251",NA,NA,"family",NA,NA,NA
"mber1254","Mbere [Karang]","Karang","Atlantic-Congo","mber1254",NA,NA,"dialect",NA,NA,NA
"mber1255","Mbere [Northwest Gbaya]","Northwest Gbaya","Atlantic-Congo","mber1255",NA,NA,"dialect",NA,NA,NA
"mber1257","Mbere","Ombambaic","Atlantic-Congo","mber1257","mdt","mbe","language",14.2877,-0.477445,105882
"mber1258","Mbere [Cameroon]","Tuki","Atlantic-Congo","mber1258",NA,NA,"dialect",NA,NA,NA
"mber1261","Mberem","Vame","Afro-Asiatic","mber1261",NA,NA,"dialect",NA,NA,NA
"mber1262","Mbere [B.60]","Njebe-Mbete-Teke","Atlantic-Congo","mber1262",NA,NA,"family",NA,NA,NA
"mbes1238","Mbesa","Kele [C.60]","Atlantic-Congo","mbes1238","zms",NA,"language",22.8389,1.6207,8400
"mbey1234","Mbeya","Mwika-Nyika","Atlantic-Congo","mbey1234",NA,NA,"family",NA,NA,NA
"mbib1238","Mbibji","Mfumte","Atlantic-Congo","mbib1238",NA,NA,"dialect",NA,NA,NA
"mbid1238","Mbida-Bani","Ewondo","Atlantic-Congo","mbid1238",NA,NA,"dialect",NA,NA,NA
"mbii1238","Mbi","Banda-Banda","Atlantic-Congo","mbii1238",NA,NA,"dialect",NA,NA,NA
"mbil1239","Mbila","Budza","Atlantic-Congo","mbil1239",NA,NA,"dialect",NA,NA,NA
"mbin1238","Mbinga","Mabaale","Atlantic-Congo","mbin1238",NA,NA,"dialect",NA,NA,NA
"mbir1238","Mbire","Zezuru","Atlantic-Congo","mbir1238",NA,NA,"dialect",NA,NA,NA
"mbiy1238","Mbiywom","Northern Pama","Pama-Nyungan","mbiy1238",NA,NA,"language",142.2710997,-12.89620501,NA
"mbiz1238","Mbizenaku","Kom [Cameroon]","Atlantic-Congo","mbiz1238",NA,NA,"dialect",NA,NA,NA
"mbla1238","Mblafe","Blafe","Morehead-Wasur","mbla1238",NA,NA,"dialect",NA,NA,NA
"mbob1238","Mbobyeng","Mpongmpong","Atlantic-Congo","mbob1238",NA,NA,"dialect",NA,NA,NA
"mboc1235","Mbo [Cameroon]","Manenguba","Atlantic-Congo","mboc1235","mbo",NA,"language",9.92766,5.13981,45000
"mbod1237","Mbodomo-Bofi","Gbaya Oriental","Atlantic-Congo","mbod1237",NA,NA,"family",NA,NA,NA
"mbod1238","Mbo [Democratic Republic of Congo]","Nyali-Ndaka-Mbo-Budu-Vanuma","Atlantic-Congo","mbod1238","zmw",NA,"language",28.018,1.11602,11000
"mboh1235","Mboh","Kayanic","Austronesian","mboh1235",NA,NA,"family",NA,NA,NA
"mboi1246","Mboi","Bena-Mboi","Atlantic-Congo","mboi1246","moi",NA,"language",12.545,9.86954,19000
"mboj1237","Mbojo","Bima","Austronesian","mboj1237",NA,NA,"dialect",NA,NA,NA
"mbok1242","Mboka","Koongo","Atlantic-Congo","mbok1242",NA,NA,"dialect",NA,NA,NA
"mbok1243","Mboko","Koyo-Mboshi","Atlantic-Congo","mbok1243","mdu",NA,"language",14.7935,0.43541,27166
"mbol1235","Mbol Fle","Tehit","West Bird’s Head","mbol1235",NA,NA,"dialect",NA,NA,NA
"mbol1247","Mbole","Tsingi-Tsingi","Atlantic-Congo","mbol1247","mdq","mbl","language",24.0443,-0.57181,1e+05
"mbol1248","Mbololo","Taita","Atlantic-Congo","mbol1248",NA,NA,"dialect",NA,NA,NA
"mbon1250","Mbonge","Oroko","Atlantic-Congo","mbon1250",NA,NA,"dialect",NA,NA,NA
"mbon1251","Mbonjoku","Kako","Atlantic-Congo","mbon1251",NA,NA,"dialect",NA,NA,NA
"mbon1252","Mbonga","Jarawan","Atlantic-Congo","mbon1252","xmb",NA,"language",13.6471,5.7517,1488
"mbon1253","Mbongno","Mbongno-Mvano","Atlantic-Congo","mbon1253","bgu",NA,"language",11.1316,6.82543,3000
"mbon1254","Mbongno-Mvano","Mambila-Mbongno","Atlantic-Congo","mbon1254",NA,NA,"family",NA,NA,NA
"mbos1242","Mbosi","Koyo-Mboshi","Atlantic-Congo","mbos1242","mdw","mdw","language",15.5322,-1.23019,108361
"mbot1238","Mboto","Birri","Birri","mbot1238",NA,NA,"dialect",NA,NA,NA
"mbou1244","Mboum","Mbum","Atlantic-Congo","mbou1244",NA,NA,"dialect",NA,NA,NA
"mbow1244","Mbowela","Nkoya","Atlantic-Congo","mbow1244",NA,NA,"dialect",NA,NA,NA
"mbow1245","Mbowe [mbow1245]","Luyana","Atlantic-Congo","mbow1245",NA,NA,"dialect",NA,NA,NA
"mbow1246","Mbowe","Eastern Greater Luyana","Atlantic-Congo","mbow1246","mxo",NA,"language",23.9819,-14.2941,2692
"mboz1234","Mbozi-Malawi Nyika","Central and Southern Nyika","Atlantic-Congo","mboz1234",NA,NA,"family",NA,NA,NA
"mbre1244","Mbre","Unclassified Volta-Congo","Atlantic-Congo","mbre1244","mka",NA,"language",-5.72944,8.20929,NA
"mbre1245","Mbre [Banda-Mbres]","Banda-Mbrès","Atlantic-Congo","mbre1245",NA,NA,"dialect",NA,NA,NA
"mbre1246","Mbrerewi","Ngemba","Atlantic-Congo","mbre1246",NA,NA,"dialect",NA,NA,NA
"mbug1240","Mbugu","Bantu-Cushitic [Mixed Language]","Mixed Language","mbug1240","mhd","mbg","language",38.3519,-4.72863,7000
"mbug1242","Mbugwe","Mbugwe-Langi","Atlantic-Congo","mbug1242","mgz",NA,"language",35.8133,-3.75763,24000
"mbug1243","Mbugwe-Langi","East Bantu","Atlantic-Congo","mbug1243",NA,NA,"family",NA,NA,NA
"mbuk1240","Mbukushu","Mashi-Mbukushi","Atlantic-Congo","mbuk1240","mhw",NA,"language",22.5026,-17.6827,35100
"mbuk1243","Mbuko","Hurza [hurz1242]","Afro-Asiatic","mbuk1243","mqb",NA,"language",14.1677,10.7788,13000
"mbul1258","Mbulungish","Mansoanka-Fore-Mboteni","Atlantic-Congo","mbul1258","mbv",NA,"language",-14.7372,10.8553,5000
"mbul1259","Mbuli","Ombo","Atlantic-Congo","mbul1259",NA,NA,"dialect",NA,NA,NA
"mbul1260","Mbula-Bwazza","Numan","Atlantic-Congo","mbul1260","mbu",NA,"language",12.2439,9.60769,40558
"mbul1261","Mbula [Atlantic-Congo]","Mbula-Bwazza","Atlantic-Congo","mbul1261",NA,NA,"dialect",NA,NA,NA
"mbul1262","Mbule","Baca [baca1248]","Atlantic-Congo","mbul1262","mlb",NA,"language",10.9924,4.50635,100
"mbul1263","Mbula","Vitiaz linkage","Austronesian","mbul1263","mna","mmb","language",148.041,-5.66965,4500
"mbum1254","Mbum","Mbumic","Atlantic-Congo","mbum1254","mdd","mbm","language",14.2722,7.5789,51260
"mbum1255","Mbumi","Luyana","Atlantic-Congo","mbum1255",NA,NA,"dialect",NA,NA,NA
"mbum1256","Mbum-Day","Adamawa","Atlantic-Congo","mbum1256",NA,NA,"family",NA,NA,NA
"mbum1257","Mbumic","Mbum-Day","Atlantic-Congo","mbum1257",NA,NA,"family",NA,NA,NA
"mbun1247","Mbundu [H.20]","Northern Njila","Atlantic-Congo","mbun1247",NA,NA,"family",NA,NA,NA
"mbun1248","Mbunga","Rufijic","Atlantic-Congo","mbun1248","mgy",NA,"language",36.5362,-8.19661,29000
"mbun1249","Mbunda","Mbwela-Mbunda","Atlantic-Congo","mbun1249","mck",NA,"language",21.9768,-14.603,291000
"mbur1239","Mburku","West Chadic B B.2","Afro-Asiatic","mbur1239","bbt",NA,"language",9.81365,10.9276,12000
"mbut1238","Mbutu","Ngemba","Atlantic-Congo","mbut1238",NA,NA,"dialect",NA,NA,NA
"mbuu1238","Mbu’","Southern Bantoid","Atlantic-Congo","mbuu1238","muc",NA,"language",10.2556,6.53792,NA
"mbwa1238","Mbwaanz","Makaa","Atlantic-Congo","mbwa1238",NA,NA,"dialect",NA,NA,NA
"mbwe1238","Mbwela","Mbwela-Mbunda","Atlantic-Congo","mbwe1238","mfu",NA,"language",18.2243,-13.3267,222000
"mbwe1239","Mbwela-Mbunda","Ngangela-Nyemba","Atlantic-Congo","mbwe1239",NA,NA,"family",NA,NA,NA
"mbwi1238","Mbwila","Safwa","Atlantic-Congo","mbwi1238",NA,NA,"dialect",NA,NA,NA
"mbya1238","Mbyam","Kwa’","Atlantic-Congo","mbya1238",NA,NA,"dialect",NA,NA,NA
"mbya1239","Mbyá Guaraní","Tupi-Guarani Subgroup I.A","Tupian","mbya1239","gun",NA,"language",-52.711,-26.0188,25450
"mdun1238","Mdundulu","Luyana","Atlantic-Congo","mdun1238",NA,NA,"dialect",NA,NA,NA
"meax1236","Meax","East Bird’s Head","East Bird’s Head","meax1236",NA,NA,"family",NA,NA,NA
"mech1238","Mech","Bodo [India]","Sino-Tibetan","mech1238",NA,NA,"dialect",NA,NA,NA
"mech1243","Mecha","West Central Oromo","Afro-Asiatic","mech1243",NA,NA,"dialect",NA,NA,NA
"meck1238","Mecklenburg-Anterior Pomerania","Western Low Saxon","Indo-European","meck1238",NA,NA,"dialect",NA,NA,NA
"meck1239","Mecklenburgish","Northern Low Saxon","Indo-European","meck1239",NA,NA,"dialect",NA,NA,NA
"mede1237","Medebur","Manamic","Austronesian","mede1237","mjm",NA,"language",145.425,-4.49918,514
"medi1245","Media Lengua","Spanish-Quechua [Mixed Language]","Mixed Language","medi1245","mue",NA,"language",-78.5392,-1.04518,NA
"medn1235","Mednyj Aleut","Russian-Aleut [Mixed Language]","Mixed Language","medn1235","mud",NA,"language",167.782,54.6601,NA
"medo1241","Medo","Makhuwa-Meetto","Atlantic-Congo","medo1241",NA,NA,"dialect",NA,NA,NA
"medo1242","Medogo","Naba","Central Sudanic","medo1242",NA,NA,"dialect",NA,NA,NA
"medu1238","Medumba","Bamileke","Atlantic-Congo","medu1238","byv",NA,"language",10.6118,5.10901,210000
"meee1238","Mee","Ekari","Nuclear Trans New Guinea","meee1238",NA,NA,"dialect",NA,NA,NA
"meek1238","Meeka","Nuclear Mumuye","Atlantic-Congo","meek1238",NA,NA,"dialect",NA,NA,NA
"meen1242","Me’en","Pastoral Surmic","Surmic","meen1242","mym","mee","language",35.6255,6.63207,80000
"mefe1242","Mefele","Matakam","Afro-Asiatic","mefe1242","mfj",NA,"language",13.8201,10.677,10000
"mega1242","Megara","Group 1","Indo-European","mega1242",NA,NA,"dialect",NA,NA,NA
"mega1243","Megam","Lyngngamic","Austroasiatic","mega1243","mef",NA,"language",91.6132,25.1292,6872
"megi1244","Megi [megi1244]","Kagulu","Atlantic-Congo","megi1244",NA,NA,"dialect",NA,NA,NA
"megi1245","Megiar","Takia","Austronesian","megi1245",NA,NA,"dialect",NA,NA,NA
"megi1246","Megi [megi1246]","Angal Enen","Nuclear Trans New Guinea","megi1246",NA,NA,"dialect",NA,NA,NA
"megl1237","Megleno Romanian","Macro-Romanian","Indo-European","megl1237","ruq",NA,"language",22.3782,41.1174,5000
"meha1241","Mehari","Halbi","Indo-European","meha1241",NA,NA,"dialect",NA,NA,NA
"meha1242","Mehalaan","Bambam","Austronesian","meha1242",NA,NA,"dialect",NA,NA,NA
"mehe1243","Mehek","Mehek-Pahi","Sepik","mehe1243","nux","mhk","language",142.498,-3.70927,6300
"mehe1244","Mehek-Pahi","Sepik Tama","Sepik","mehe1244",NA,NA,"family",NA,NA,NA
"mehi1240","Mehináku","Waura-Mehinaku","Arawakan","mehi1240","mmh",NA,"language",-53.521,-12.5364,200
"mehr1241","Mehri","Western MSA","Afro-Asiatic","mehr1241","gdq","meh","language",51.1512,21.4268,NA
"meib1238","Meibuil","Kabola","Timor-Alor-Pantar","meib1238",NA,NA,"dialect",NA,NA,NA
"meif1236","Meifu","Hlai","Tai-Kadai","meif1236",NA,NA,"dialect",NA,NA,NA
"mein1238","Mein","Izon","Ijoid","mein1238",NA,NA,"dialect",NA,NA,NA
"meit1246","Meitei","Manipuri","Sino-Tibetan","meit1246",NA,NA,"dialect",NA,NA,NA
"meiy1238","Meiyari","Niksek","Sepik","meiy1238",NA,NA,"dialect",NA,NA,NA
"meje1239","Meje","Mangbetu","Central Sudanic","meje1239",NA,NA,"dialect",NA,NA,NA
"meke1243","Mekeo","Nuclear West Central Papuan","Austronesian","meke1243","mek","mke","language",146.586,-8.23853,19000
"meke1244","Mekeo based [Pidgin]","Pidgin","Pidgin","meke1244",NA,NA,"family",NA,NA,NA
"mekk1240","Mek","Nuclear Trans New Guinea","Nuclear Trans New Guinea","mekk1240",NA,NA,"family",NA,NA,NA
"mekm1240","Mekmek","Yuat","Yuat","mekm1240","mvk",NA,"language",143.75,-4.47017,1400
"meko1237","Mekongga","Tolaki","Austronesian","meko1237",NA,NA,"dialect",NA,NA,NA
"mekw1241","Mekwei","Outer Nimboranic","Nimboran","mekw1241","msf",NA,"language",140.326,-2.52264,1200
"mela1253","Melan So","So [Cameroon]","Atlantic-Congo","mela1253",NA,NA,"dialect",NA,NA,NA
"mela1255","Melanau","Melanau-Kajang","Austronesian","mela1255",NA,NA,"family",NA,NA,NA
"mela1257","Mel","Atlantic-Congo","Atlantic-Congo","mela1257",NA,NA,"family",NA,NA,NA
"mela1258","Melanau-Kajang","Sarawak-Melanau-Kajang","Austronesian","mela1258",NA,NA,"family",NA,NA,NA
"mele1247","Mele Nadu Irula","Irula","Dravidian","mele1247",NA,NA,"dialect",NA,NA,NA
"mele1248","Melete","Tswana","Atlantic-Congo","mele1248",NA,NA,"dialect",NA,NA,NA
"mele1249","Mele [Central African Republic]","Gula [Central African Republic]","Central Sudanic","mele1249",NA,NA,"dialect",NA,NA,NA
"mele1250","Mele-Fila","Mele-Futuna","Austronesian","mele1250","mxe","mxe","language",168.275,-17.6841,3500
"mele1251","Mele","Mele-Fila","Austronesian","mele1251",NA,NA,"dialect",NA,NA,NA
"mele1252","Mele-Futuna","Vanuatu-Loyalty Outliers","Austronesian","mele1252",NA,NA,"family",NA,NA,NA
"meli1237","Melilup","Teop","Austronesian","meli1237",NA,NA,"dialect",NA,NA,NA
"melk1240","Melkhin","Chechen","Nakh-Daghestanian","melk1240",NA,NA,"dialect",NA,NA,NA
"melk1241","Melkoi","Mamusi","Austronesian","melk1241",NA,NA,"dialect",NA,NA,NA
"melo1241","Melong","Mbo [Cameroon]","Atlantic-Congo","melo1241",NA,NA,"dialect",NA,NA,NA
"melo1242","Melo","Central Ometo","Ta-Ne-Omotic","melo1242","mfx",NA,"language",36.811,6.53916,20151
"melo1243","Melolo","Kambera","Austronesian","melo1243",NA,NA,"dialect",NA,NA,NA
"melp1238","Melpa","Melpa-Tembagla","Nuclear Trans New Guinea","melp1238","med",NA,"language",144.34,-5.62644,130000
"melp1239","Melpa-Tembagla","Hagen","Nuclear Trans New Guinea","melp1239",NA,NA,"family",NA,NA,NA
"mels1237","Melsisi","Apma","Austronesian","mels1237",NA,NA,"dialect",NA,NA,NA
"memb1238","Membi","Ndo","Central Sudanic","memb1238",NA,NA,"dialect",NA,NA,NA
"memb1239","Membi-Mangbutu-Efe","Central Sudanic","Central Sudanic","memb1239",NA,NA,"family",NA,NA,NA
"memo1238","Memoni","Sindhic","Indo-European","memo1238","mby",NA,"language",67.007,24.853,31
"mena1240","Mena","Ikobi-Mena","Turama-Kikori","mena1240",NA,NA,"dialect",NA,NA,NA
"mend1261","Mendankwe-Nkwen","Ngembaic","Atlantic-Congo","mend1261","mfd",NA,"language",10.2307,6.00034,23050
"mend1262","Mendankwe","Mendankwe-Nkwen","Atlantic-Congo","mend1262",NA,NA,"dialect",NA,NA,NA
"mend1263","Mende-Loma","Southwest Mande","Mande","mend1263",NA,NA,"family",NA,NA,NA
"mend1264","Mende-Bandi","Mende-Loma","Mande","mend1264",NA,NA,"family",NA,NA,NA
"mend1265","Mende-Loko","Mende-Bandi","Mande","mend1265",NA,NA,"family",NA,NA,NA
"mend1266","Mende [Sierra Leone]","Mende-Loko","Mande","mend1266","men","mde","language",-10.9926,7.90935,1499700
"mend1267","Mendalam Kayan","Kayan Proper","Austronesian","mend1267","xkd",NA,"language",113.286,0.98794,1500
"mend1268","Mende [Papua New Guinea]","Kwanga-Mende","Sepik","mend1268","sim",NA,"language",142.683,-3.67233,5700
"mene1239","Menemo","Meta’","Atlantic-Congo","mene1239",NA,NA,"dialect",NA,NA,NA
"meng1262","Mengda","Salar","Turkic","meng1262",NA,NA,"dialect",NA,NA,NA
"meng1264","Mengaka","Bamileke","Atlantic-Congo","meng1264","xmg",NA,"language",10.3377,5.71399,20000
"meng1265","Mengum","Ngie","Atlantic-Congo","meng1265",NA,NA,"dialect",NA,NA,NA
"meng1266","Mengenic","Vitiaz linkage","Austronesian","meng1266",NA,NA,"family",NA,NA,NA
"meng1267","Mengen","Mamusa-Mengen","Austronesian","meng1267","mee",NA,"language",151.373,-5.47036,8400
"meng1268","Mengkatip","Bakumpai","Austronesian","meng1268",NA,NA,"dialect",NA,NA,NA
"meng1269","Menggala","Lampung Nyo","Austronesian","meng1269",NA,NA,"dialect",NA,NA,NA
"meng1270","Menggatal","Central Dusun","Austronesian","meng1270",NA,NA,"dialect",NA,NA,NA
"meng1271","Mengau","Dera [Indonesia]","Senagi","meng1271",NA,NA,"dialect",NA,NA,NA
"meni1246","Meni","Ikobi-Mena","Turama-Kikori","meni1246",NA,NA,"dialect",NA,NA,NA
"meni1247","Menien","Nuclear Kamakanan","Kamakanan","meni1247",NA,NA,"language",-38.8633204,-15.8436187,NA
"menk1238","Menka","Menka-Atong","Atlantic-Congo","menk1238","mea",NA,"language",9.69161,5.94639,5200
"menk1239","Menka-Atong","Southwest Grassfields","Atlantic-Congo","menk1239",NA,NA,"family",NA,NA,NA
"meno1251","Meno-Mene","Sasak","Austronesian","meno1251",NA,NA,"dialect",NA,NA,NA
"meno1252","Menominee","Algonquian","Algic","meno1252","mez","men","language",-88.6395,44.9794,39
"menr1235","Menraq-Batek","Maniq-Menraq-Batek","Austroasiatic","menr1235",NA,NA,"family",NA,NA,NA
"ment1247","Mentebah-Suruk","Malayic Dayak","Austronesian","ment1247",NA,NA,"dialect",NA,NA,NA
"ment1248","Mentawai-Nias-Sikule","Nuclear Barrier Islands","Austronesian","ment1248",NA,NA,"family",NA,NA,NA
"ment1249","Mentawai","Mentawai-Nias-Sikule","Austronesian","ment1249","mwv","mnt","language",98.9401,-1.41092,58000
"ment1250","Mentuh Tapuh","Bukar-Sadung Bidayuh","Austronesian","ment1250",NA,NA,"dialect",NA,NA,NA
"menu1237","Menui","Wawonii","Austronesian","menu1237",NA,NA,"dialect",NA,NA,NA
"meny1244","Menya [Uganda]","Nyole","Atlantic-Congo","meny1244",NA,NA,"dialect",NA,NA,NA
"meny1245","Menya","Kapau-Menya","Angan","meny1245","mcr","mey","language",146.071,-7.17425,20000
"menz1238","Menzime","Mpongmpong","Atlantic-Congo","menz1238",NA,NA,"dialect",NA,NA,NA
"meos1237","Meoswar","Biakic","Austronesian","meos1237","mvx",NA,"language",134.378,-2.07828,250
"meph1234","Mephaa","Subtiaba-Tlapanec","Otomanguean","meph1234",NA,NA,"family",NA,NA,NA
"mera1242","Meramera","Nakanai-Meramera","Austronesian","mera1242","mxm",NA,"language",151.528,-4.97468,2000
"merc1242","Mercian","Anglian","Indo-European","merc1242",NA,NA,"family",NA,NA,NA
"mere1241","Mere","Gula [Central African Republic]","Central Sudanic","mere1241",NA,NA,"dialect",NA,NA,NA
"mere1242","Merei","Tiale-Merei-Navut","Austronesian","mere1242","lmb",NA,"language",166.905,-15.2839,400
"mere1246","Merey","Meri","Afro-Asiatic","mere1246","meq",NA,"language",14.09,10.7458,11000
"merg1238","Merguese","Nuclear Burmese","Sino-Tibetan","merg1238",NA,NA,"dialect",NA,NA,NA
"meri1242","Meridionale","Campidanese Sardinian","Indo-European","meri1242",NA,NA,"dialect",NA,NA,NA
"meri1243","Merina","Plateau Malagasy","Austronesian","meri1243",NA,NA,"dialect",NA,NA,NA
"meri1244","Meriam","Eastern Trans-Fly","Eastern Trans-Fly","meri1244","ulk","mer","language",143.773,-9.59575,320
"meri1245","Meri","Mofuic","Afro-Asiatic","meri1245",NA,NA,"family",NA,NA,NA
"merl1237","Merlav","Torres-Banks linkage","Austronesian","merl1237","mrm",NA,"language",168.039,-14.4213,1550
"mero1237","Meroitic","Africa","Meroitic","mero1237","xmr",NA,"language",33.7333,16.9333,NA
"merr1238","Mer [Bench]","Bench","Ta-Ne-Omotic","merr1238",NA,NA,"dialect",NA,NA,NA
"merr1239","Mer","Mairasi","Mairasi","merr1239","mnu",NA,"language",134.731,-3.3828,85
"meru1245","Meru","Northern Central Kenya Bantu","Atlantic-Congo","meru1245","mer",NA,"language",37.7396,0.26484,1740000
"merw1238","Merwari","Rajasthani","Indo-European","merw1238","wry",NA,"language",74.095,26.771,NA
"mesa1245","Mesaka","Tivoid","Atlantic-Congo","mesa1245","iyo",NA,"language",9.8723,6.32679,14000
"mesa1246","Mesara","Sabu","Austronesian","mesa1246",NA,NA,"dialect",NA,NA,NA
"mesa1247","Mesari","Ese","Koiarian","mesa1247",NA,NA,"dialect",NA,NA,NA
"mesc1238","Mescalero-Chiricahua Apache","Western Southwestern Apachean","Athapaskan-Eyak-Tlingit","mesc1238","apm","apc","language",-105.566,33.1291,1800
"mese1244","Mese [Papua New Guinea]","Nabak-Momolili","Nuclear Trans New Guinea","mese1244","mci",NA,"language",147.137,-6.56072,4000
"mesi1242","Mesise","Dogosé","Atlantic-Congo","mesi1242",NA,NA,"dialect",NA,NA,NA
"mesi1243","Mesi","Madak","Austronesian","mesi1243",NA,NA,"dialect",NA,NA,NA
"mesi1244","Mesiang","Barakai","Austronesian","mesi1244",NA,NA,"dialect",NA,NA,NA
"mesk1241","Meskhur-Javakhuri","Modern Georgian","Kartvelian","mesk1241",NA,NA,"dialect",NA,NA,NA
"mesk1242","Meskwaki","Fox [foxx1245]","Algic","mesk1242","sac","fox","language",-94,40,250
"mesk1243","Meskwakie","Meskwaki","Algic","mesk1243",NA,NA,"dialect",NA,NA,NA
"mesm1239","Mesme","South Masa","Afro-Asiatic","mesm1239","zim",NA,"language",15.7018,9.28888,20120
"mesm1243","Mesmes","Inoric","Afro-Asiatic","mesm1243","mys",NA,"language",37.5742,7.53825,0
"meso1252","Mesopotamian Arabic","Eastern Arabic","Afro-Asiatic","meso1252","acm","arq","language",43.1095,33.8178,15100000
"meso1253","Meso Melanesian linkage","Western Oceanic linkage","Austronesian","meso1253",NA,NA,"family",NA,NA,NA
"meso1254","Meso-Cordilleran","Northern Luzon","Austronesian","meso1254",NA,NA,"family",NA,NA,NA
"mesq1240","Mesqan","TT-Group","Afro-Asiatic","mesq1240","mvz",NA,"language",38.3386,8.10617,NA
"mess1244","Messapic","Indo-European","Indo-European","mess1244","cms",NA,"language",NA,NA,NA
"mess1247","Messinese","Sicilian","Indo-European","mess1247",NA,NA,"dialect",NA,NA,NA
"mess1248","Messa-Dote","Sawai","Austronesian","mess1248",NA,NA,"dialect",NA,NA,NA
"meta1238","Meta’","Widikum-Tadkon","Atlantic-Congo","meta1238","mgo",NA,"language",9.87416,5.88942,87000
"mete1238","Metemma","Mandura-Dibate-Metemma","Gumuz","mete1238",NA,NA,"dialect",NA,NA,NA
"metl1237","Metla-Kinwat","Southeastern Kolami","Dravidian","metl1237",NA,NA,"dialect",NA,NA,NA
"metl1238","Metlatónoc Mixtec","Guerrero Mixtec","Otomanguean","metl1238","mxv",NA,"language",-98.3514,17.048,46648
"metn1237","Metnyo","Waigeo","Austronesian","metn1237",NA,NA,"dialect",NA,NA,NA
"meto1239","Metomka","South Muyu","Nuclear Trans New Guinea","meto1239",NA,NA,"dialect",NA,NA,NA
"mets1238","Metsam","Waigeo","Austronesian","mets1238",NA,NA,"dialect",NA,NA,NA
"meud1237","Meudana","Bunama","Austronesian","meud1237",NA,NA,"dialect",NA,NA,NA
"mewa1248","Mewasi","Wadiyara Koli","Indo-European","mewa1248",NA,NA,"dialect",NA,NA,NA
"mewa1249","Mewari","Mewari-Gade Lohar","Indo-European","mewa1249","mtr",NA,"language",73.68,24.57,2e+06
"mewa1250","Mewati","Mewati-Gojri","Indo-European","mewa1250","wtm",NA,"language",76.947,27.736,NA
"mewa1251","Mewati [Haryanvi]","Haryanvi","Indo-European","mewa1251",NA,NA,"dialect",NA,NA,NA
"mewa1252","Mewahang","Upper Arun","Sino-Tibetan","mewa1252",NA,NA,"family",NA,NA,NA
"mewa1253","Mewari-Gade Lohar","Rajasthani","Indo-European","mewa1253",NA,NA,"family",NA,NA,NA
"mewa1254","Mewati-Gojri","Rajasthani","Indo-European","mewa1254",NA,NA,"family",NA,NA,NA
"meya1236","Meyah","Meax","East Bird’s Head","meya1236","mej","mea","language",133.618,-1.18016,14783
"meyi1234","Meyic","Kamengic","Sino-Tibetan","meyi1234",NA,NA,"family",NA,NA,NA
"mezi1238","Mezimko","Mukulu","Afro-Asiatic","mezi1238",NA,NA,"dialect",NA,NA,NA
"mezo1235","Mezontla Popoloca","Popolocan","Otomanguean","mezo1235","pbe","pop","language",-97.5879,18.1442,2000
"mezq1235","Mezquital Otomi","Northwestern Otomi","Otomanguean","mezq1235","ote","otm","language",-99.5564,20.2274,1e+05
"mfee1238","Mfe","Yamba","Atlantic-Congo","mfee1238",NA,NA,"dialect",NA,NA,NA
"mfen1238","Mfengu","Xhosa","Atlantic-Congo","mfen1238",NA,NA,"dialect",NA,NA,NA
"mfin1238","Mfinu","Kwilu-Nsong","Atlantic-Congo","mfin1238","zmf",NA,"language",16.2559,-4.26573,8400
"mfum1238","Mfumte","Mfumteic","Atlantic-Congo","mfum1238","nfu",NA,"language",11.0043,6.64304,24700
